title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Bihun Jamur,https://www.fatsecret.co.id/resep/53228076-bihun-jamur/Default.aspx,Bihun Jamur,Sidebar - Hidangan Utama,1 besar egg | 50 gram cooked spinach (from fresh) | 5 gram garlic | 50 gram shiitake mushrooms (stir-fried) | 100 gram vermicelli | 50 gram chicken sausage | 1 sdm kecap manis | 1.5 g kaldu rasa jamur | 1 sdm kecap asin,"Tumis bawang putih. | Masukkan sosis, jamur. Angkat. | Orek telor, angkat. | Tumis bayam, angkat. | Rebus bihun, tiriskan. | Tumis bihun, masukkan kecap asin, kecap manis, dan kaldu jamur
Masukkan sosis, jamur, telor, bayam. | Masukkan sosis, jamur, telor, bayam. | Bumbui dengan garam dan merica sesuai selera.","433,0 kkal","25,45 g","55,15 g","12,2 g","4,8 g","14,35 g","2400,0 mg","637,0 mg","252,0 mg","3,231 g",Mie ini luar biasa ringan dan beraroma tinggi.,PT10M,PT15M,1 porsi
Nasi Goreng Mentega,https://www.fatsecret.co.id/resep/53044110-nasi-goreng-mentega/Default.aspx,Nasi Goreng Mentega,Sidebar - Makan Siang,"1 besar telur dadar atau telur orak-arik | 1 1/2 mangkok, dimasak nasi putih | 1 siung bawang putih | 100 g mixed vegetables | 27 g margarine","Tumis bawang putih cincang dengan margarine. | Masukkan sayur campur dan diikuti dengan nasi. | Tambahkan telur, orak arik, dan campur semuanya.","344,0 kkal","8,15 g","41,13 g","14,91 g","0,5 g","2,66 g","729,0 mg","93,0 mg","106,0 mg","7,134 g","Cepat dan mudah dibuat, disesuaikan dengan campuran favorit anda.",PT5M,PT15M,2 porsi
Tempe Teriyaki,https://www.fatsecret.co.id/resep/52980073-tempe-teriyaki/Default.aspx,Tempe Teriyaki,Sidebar - Makan Siang,1 siung bawang putih | 1/2 iris daun bawang | 10 gram lada pisang | 100 gram tempe | 1 sendok saus sambal | 1 sendok makan minyak goreng | 100 ml saus teriyaki,"Potong tempe lalu panggang tempe di api kecil tanpa minyak. | Lalu tumis bawang putih dengan minyak, masukan saos teriyaki dan saos sambal makan dan masukkan sejumput lad. | Tambahkan air secukupnya lalu masukkan tempe yg sudah dipanggamg tadi, diamkan sampai bumbu meresap dengan api kecil. | Jika bumbu sudah meresap dan mengering taruh tempe di atas piring dan taburi daun bawang. Tempe siap di sajikan.","484,0 kkal","18,94 g","51,74 g","19,87 g","0,5 g","39,75 g","11626,0 mg","455,0 mg","0,0 mg","6,229 g","Resep ini dibuat dengan tempe, pilihan protein nabati yang luar biasa.",PT5M,PT10M,1 porsi
Tumis Ayam Tahu Telur,https://www.fatsecret.co.id/resep/52928140-tumis-ayam-tahu-telur/Default.aspx,Tumis Ayam Tahu Telur,Sidebar - Makan Siang,125 gram dada ayam | 1 besar telur | 2 siung bawang putih | 1 sejumput garam laut | 1 sdm minyak goreng | 50 gram tahu | 50 ml aqua | 1 sdm saos tiram,"Potong-potong dadu ayam dan tahu. | Geprek bawang putih, rajang. | Tumis bawang putih dengan minyak goreng sampai harum. | Masukkan ayam, tahu dan air, masak sampai setengah matang, masukkan saus tiram. | Tumis ayam dan tahu sampai matang, masukkan telur, tumis sampai telur setengah matang, tes rasa, kalau kurang asin bisa tambah garam sedikit, tumis sampai matang, sajikan.","461,0 kkal","47,59 g","4,41 g","27,12 g","0,3 g","1,65 g","1012,0 mg","464,0 mg","316,0 mg","8,56 g",Menu simple dan mudah bikinnya.,PT5M,PT15M,1 porsi
Ayam Teriyaki,https://www.fatsecret.co.id/resep/52894139-ayam-teriyaki/Default.aspx,Ayam Teriyaki,Sidebar - Makan Siang,300 gram dada ayam | 5 sdm cabai merah atau rawit | 1/4 siung bawang putih | 1 sdm minyak goreng | 18 g royco ayam | 40 ml saus teriyaki,"Panaskan minyak tumis bawang putih. | Masukan ayam dan air. | Tambahkan royco, saus teriyaki, dan cabai dan tunggu hingga matang.","167,0 kkal","18,38 g","5,96 g","7,55 g","1,4 g","3,46 g","2148,0 mg","253,0 mg","50,0 mg","2,276 g",Teriyaki ayam klasik yang begitu juicy dan lembut.,PT10M,PT30M,5 porsi
Oseng Sawi Telur,https://www.fatsecret.co.id/resep/52841784-oseng-sawi-telur/Default.aspx,Oseng Sawi Telur,Sidebar - Makan Pagi,1 besar telur | 1 siung bawang putih | 1 kecil bawang merah | 50 gram sawi hijau,"Oseng bawang merah dan bawang putih. | Masukkan sawi dan sedikit air. | Tambahkan telur, bumbui dengan garam dan merica.","113,0 kkal","7,87 g","9,54 g","5,15 g","1,6 g","4,0 g","105,0 mg","306,0 mg","212,0 mg","1,584 g",Dikemas dengan protein dan serat.,PT5M,PT10M,1 porsi
Capcay Toge,https://www.fatsecret.co.id/resep/52690697-capcay-toge/Default.aspx,Capcay Toge,Sidebar - Makan Siang,50 gram kacang panjang hijau | 1 tongkol/bonggol besar jagung | 1 sejumput garam | 50 gram wortel | 500 ml air | 1 sdt gula pasir | 1 kecil bawang merah | 100 g sayur toge | 3 g royco ayam | 10 ml minyak goreng,"Tumis bawang merah yang sudah diiris-iris dengan minyak panas. | Lalu masukkan wortel,toge, jagung, dan kacang panjang. Tambahkan air sekitar 500 ml. | Lalu tambahkan bumbu-bumbu penyebab seperti garam, gula dan royco (sesuai selera). | Lalu tunggu air menyusut menjadi setengah. | Setelah itu siap dihidangkan.","200,0 kkal","20,3 g","23,42 g","5,51 g","4,0 g","7,38 g","532,0 mg","376,0 mg","0,0 mg","1,974 g",Sama-sama gurih dan manis.,PT5M,PT15M,2 porsi
Spaghetti,https://www.fatsecret.co.id/resep/52483170-spaghetti/Default.aspx,Spaghetti,Sidebar - Makan Siang,115 gram udang | 142 gram jamur dimasak (lemak ditambahkan dalam masakan) | 3 gram kaldu jamur | 2 gram cabai merah atau rawit | 100 gram wortel | 3 gram bawang putih | 2 gelas air | 2 sejumput garam laut | 20 g quick melt keju | 15 ml minyak goreng tropical | 60 g spaghetti gluten free | 30 gram bawang bombay,"Siapkan bahan bawang puith,bombai dan cabe rawit. Cuci bersih lalu di chop. | Rebus spagheti tambahkan sejumput garam dan sedikit minyak. Rebus spagheti hingga aldente kira-kira 8 menit. | Bersihkan udang hingga bersih dan tdk amis lagi. | Iris wortel berbentuk korek api dan bersihkan jamur. | Tumis semua bahan bawang putih, bombai dan rawit lalu masukkan udang, tumis hingga setengah matang lalu masukkan wortel dan setelah itu jamur. | Tambahkan air rebusan spagheti lalu di tumis dan masukkan spagheti tadi. | Masak sebentar lalu tambahkan keju yang sudah diparut. | Siap disajikan.","693,0 kkal","44,5 g","71,94 g","26,37 g","7,5 g","10,89 g","1751,0 mg","1104,0 mg","237,0 mg","10,45 g",Putaran baru untuk hidangan pasta favorit Anda.,PT15M,PT20M,1 porsi
Terong Balado Rebus,https://www.fatsecret.co.id/resep/52398057-terong-balado-rebus/Default.aspx,Terong Balado Rebus,Sidebar - Makan Siang,50 gram cabai merah atau rawit | 1/2 sdt garam | 250 gram terung | 2 siung bawang putih | 400 ml air | 120 gram tempe | 3 sedang bawang merah | 2 g terasi | 1.75 g magic lezat,"Haluskan semua bahan kecuali tempe dan terong. | Tuang bumbu ke teflon dan tambahkan air secukupnya, tutup teflon dan rebus hingga mendidih. | Iris terong melingkar, susun ke dalam teflon setelah rebusan cabai mendidih, jangan ditutup kambali. | Detelah terong setengah matang, masukkan tempe. | Masak hingga matang dan air surut, jangan lupa koreksi rasa.","302,0 kkal","17,57 g","44,94 g","11,22 g","13,4 g","12,62 g","849,0 mg","1288,0 mg","0,0 mg","2,235 g",Sambal sambel pedas yang membuat ketagihan.,PT10M,PT15M,2 porsi
Tempe Tahu Orek,https://www.fatsecret.co.id/resep/52392266-tempe-tahu-orek/Default.aspx,Tempe Tahu Orek,Sidebar - Lauk Pauk,16 gram bawang putih | 132 gram tempe | 166 gram tahu goreng | 25 gram bawang merah | 45 ml minyak goreng | 90 ml kecap manis | 30 g saus sambal,"Potong potong tempe, dan tahu goreng. | Iris bawang merah dan bawang putih. | Panaskan minyak kemudian tumis bawang merah dan bawang putih yang sudah di iris tipis. | Setelah bawang merah dan bawang putih setengah matang masukkan tempe kemudian goreng hingga tempe setengah matang. | Masukkan tahu, kemudian aduk dan masukkan kecap dan sambal masak hingga matang.","5,0 kkal","0,18 g","0,39 g","0,29 g","0,0 g","0,22 g","7,0 mg","3,0 mg","0,0 mg","0,081 g",Dimasak dengan saus pedas manis yang lezat.,PT5M,PT15M,305 porsi
Tumis Sawi Tahu,https://www.fatsecret.co.id/resep/52333298-tumis-sawi-tahu/Default.aspx,Tumis Sawi Tahu,Sidebar - Lauk Pauk,200 gram greens | 4 sdm vegetable oil | 2 siung garlic | 1 sedang onions | 250 g tahu kuning,"Goreng tahu menang minyak, sisihkan. | Tumis bawang bombay dan bawang putih sampai harum, tambahkan garam dan merica. | Masukkan sawi hijau yg sudah dipotong, aduk sampai sawi layu. | Masukan tahu goreng yang sudah dipotong.","451,0 kkal","14,88 g","13,87 g","38,64 g","3,5 g","3,04 g","700,0 mg","260,0 mg","0,0 mg","3,932 g",Irisan sawi dan tahu goreng yang ditumis.,PT10M,PT15M,2 porsi
Udang Tumis Brokoli,https://www.fatsecret.co.id/resep/51932644-udang-tumis-brokoli/Default.aspx,Udang Tumis Brokoli,Sidebar - Makan Siang,250 sedang udang | 3 sdt bubuk cabai | 1 sdm bawang putih bubuk | 1 sdt garam | 150 gram brokoli | 10 g bawang merah goreng | 2 g royco ayam | 1 sdm kecap manis | 10 gram bawang bombay,Rebus udang sampai setengah matang dgn air. | Masukkan brokoli dan bumbu. | Rebus sehingga cukup air.,"334,0 kkal","58,79 g","8,87 g","5,72 g","1,2 g","2,95 g","1845,0 mg","504,0 mg","429,0 mg","1,23 g",Udang dan brokoli yang lezat.,PT20M,PT20M,6 porsi
Bihun Rebus,https://www.fatsecret.co.id/resep/51264310-bihun-rebus/Default.aspx,Bihun Rebus,Sidebar - Hidangan Utama,"1 sdm cabai merah atau rawit | 1 sdt garam | 2 siung bawang putih | 1 gelas air | 1 porsi bawang merah | 2,75 ml minyak jagung | 60 g bihun jagung | 2 g royco ayam | 3 g lada putih bubuk | 40 gram sawi hijau","Rebus bihun setengah matang dengan sedikit minyak. | Cuci dan potong bawang merah, bawang putih, cabai rawit, sawi hijau, dan seledri. | Oseng bawang merah, bawang putih, dan cabai rawit dengan sedikit minyak cco. | Tambahkan air secukupnya. | Bila sudah mendidih masukkan sawi hijau, dan seledri. Setelah 1 menit masukkan bihun yang sudah setengah matang. | Masukkan bumbu : garam, lada, dan royco secukupnya. Hidangkan.","186,0 kkal","1,38 g","31,14 g","1,77 g","2,0 g","0,84 g","1460,0 mg","126,0 mg","0,0 mg","0,286 g",Bihun rebus dengan sawi.,PT5M,PT10M,2 porsi
Stim Ikan Ala Chinese,https://www.fatsecret.co.id/resep/51195276-stim-ikan-ala-chinese/Default.aspx,Stim Ikan Ala Chinese,Sidebar - Hidangan Utama,"120 gram ikan | 1/4 hot chili pepper | 1 siung bawang putih | 1/4 mangkok, dicincang daun bawang (loncang) | 0,65 g stevia sweetener | 23 g saus tiram | 15 ml kecap asin","Masak saos ala chinese dengan cara pertama oseng bawang putih dan jahe. | Tambahkan air secukupnya. | Tambahkan kecap asin | Tambahkan saos tiram. | Tunggu hingga mendidih. | Jika ikan sudah masak siram dengan saos ala chinese. | Tunggu hingga mendidih. | Stim ikan senangin dengan daun bawang, cabai merah dan cabai hijau di atasnya.","134,0 kkal","23,49 g","8,14 g","1,27 g","1,0 g","1,19 g","1567,0 mg","552,0 mg","70,0 mg","0,259 g",Stim ikan menggunakan ikan senangin yang dicampurkan dengan saos ala chinese.,PT3M,PT10M,1 porsi
Bibimbap,https://www.fatsecret.co.id/resep/50971114-bibimbap/Default.aspx,Bibimbap,Sidebar - Saus dan Bumbu,"84 gram telur dadar atau telur orak-arik | 128 gram nasi merah | 10 gram kubis cina (bok-choy, pak-choi) | 53 gram wortel | 2 siung bawang putih | 59 gram bawang merah | 40 g saus topokki hot spicy","Rebus kubis, wortel, bw merah, bw putih selama 15 menit. | Tempatkan beras merah kukus dalam mangkuk. | Susun bahan yg direbus tdi di atas nasi merah. | Orak arik telur ,lalu letakan di atas. | Tambahkan saus gocujhang atau saus tteokbokki. | Campur semua makanan. | Siap disajikan.","438,0 kkal","15,39 g","67,95 g","11,72 g","4,8 g","25,82 g","1566,0 mg","482,0 mg","289,0 mg","3,098 g",Bibimbap rendah kalori dengan nasi merah.,PT5M,PT45M,1 porsi
Sesame Toowoomba Pasta,https://www.fatsecret.co.id/resep/50868103-sesame-toowoomba-pasta/Default.aspx,Sesame Toowoomba Pasta,Sidebar - Makan Siang,1 siung bawang putih dimasak | 20 gram bawang bombay dimasak | 60 g shin ramyun | 200 ml susu uht full cream (250ml) | 3 sdm roasted sesame dressing | 10 g smoked beef,"Rebus Shin Ramyun atau mi instan lainnya hingga setengah matang. | Tumis bawang putih yang sudah dicincang halus hingga harum. | Masukkan daging lembu salai (secukup rasa) dan tumis dengan bawang. | Masukkan 200ml susu UHT ke tumisan. | Jika susu mulai mendidih masukan bumbu mi instan dan 3 sdm sesame dressing. | Masukan mie dan tunggu hingga susu agak meresap. | Jika susu mulai mengental, matikan api dan Sesame Toowoomba Pasta sudah siap disajikan.","588,0 kkal","11,83 g","57,91 g","30,61 g","0,4 g","8,8 g","1689,0 mg","361,0 mg","14,0 mg","10,049 g",Pasta Toowoomba dengan Saus Wijen.,PT5M,PT5M,1 porsi
Ayam Saos Mentega,https://www.fatsecret.co.id/resep/50814534-ayam-saos-mentega/Default.aspx,Ayam Saos Mentega,Sidebar - Hidangan Utama,"200 gram daging dada ayam (ayam pedaging, dipanggang, dimasak) | 2 sdm madu | 30 ml madu | 5 ml minyak jagung | 25 g saus tiram","Siapkan 200 gr ayam cuci bersih  , potong sesuai selera. | Marinasi dengan 2 bawang puth halus , penyedam , lada , garam , saus tiram 2 sdm , madu 3 sdm , tepung maizena 1 sdm. | Simpan dalam kulkas selama minimal 15 menit. | Siapkan bumbu tumis nya , bawang bombay , minyak tropicana 1sdt ,. | Tumis bumbu tumis lalu masukan bumbu marinasi.","597,0 kkal","62,51 g","71,63 g","11,7 g","0,2 g","34,49 g","983,0 mg","548,0 mg","170,0 mg","3,28 g","Low calori , cepat di masak.",PT30M,PT15M,1 porsi
Oat Goreng Special,https://www.fatsecret.co.id/resep/50699332-oat-goreng-special/Default.aspx,Oat Goreng Special,Sidebar - Hidangan Utama,1 besar telur | 14 sedang paprika merah manis | 1 sdt bawang putih bubuk | 13 gram cabai merah atau rawit | 47 gram daging dada ayam (ayam pedaging) | 47 gram brokoli | 19 gram bawang putih | 2 gram daun bawang | 14 gram sawi putih | 6 gram bawang merah | 20 g oat | 6 g saus tiram | 2 g royco ayam | 9 g lada putih bubuk | 13 gram bawang bombay | 2.5 g boncabe | 5 g pilus sapi panggang,"Pertama haluskan bawang putih, merah, cabai diberi garam dan merica. | Bumbu yang sudah dihaluskan ditumis dan bawang bombay lalu masukan telur dan oat+ sayur²nya. | Diaduk² lalu masukan 1sdt Saori dan bumbu royco secukupnya dan tambahkan bumbu nasi goreng sajiku sejumput aja! | Ayam dimasak diberi bumbu bawang putih, merica , bon cabe dan ohaiong. Lalu di panggang pake telfon sampai matang. | Sajikan deh! Tambahkan pilus buat topping aja wkwk.","812,0 kkal","40,91 g","146,95 g","15,98 g","40,7 g","74,48 g","1014,0 mg","4266,0 mg","239,0 mg","3,447 g",Oat goreng gurih dengan banyak topping.,PT15M,PT20M,1 porsi
Mapo Tofu,https://www.fatsecret.co.id/resep/50601681-mapo-tofu/Default.aspx,Mapo Tofu,Sidebar - Hidangan Utama,1 sdm soy sauce | 2 tbsps olive oil | 4 siung garlic | 1/2 sedang onions | 200 gram tempeh (cooked) | 100 g jamur enoki | 65 g bakso daging sapi | 2 sdm gochujang | 200 g tahu original,"Tumis bawang putih dan bawang bombay. | Masukan tempe dan bakso. | Masukan gochujang dan kecap. | Tambahkan air dan garam, tunggu sampai mendidih dan reduced. | Masukan tahu, masak kurang lebih 2 menit.","261,0 kkal","18,16 g","12,61 g","16,34 g","1,0 g","2,18 g","699,0 mg","241,0 mg","0,0 mg","3,014 g",Mapo tofu ala korea.,PT10M,PT15M,4 porsi
Mie Shirataki Soto,https://www.fatsecret.co.id/resep/50464500-mie-shirataki-soto/Default.aspx,Mie Shirataki Soto,Sidebar - Hidangan Utama,32 gram jeruk nipis | 10 gram paprika merah manis | 22 gram cabai merah atau rawit | 39 gram daging dada ayam (ayam pedaging) | 13 gram bawang putih | 39 gram sawi putih | 8 gram bawang merah | 80 g mie basah matang | 2 g royco ayam | 3 g lada putih bubuk | 15 g bumbu indomie goreng | 15 g kerupuk seblak,"Haluskan bawang putih, merah, cabai dan tambahkan garam serta lada. | Masak ayam dipanggang kasih bumbu bawang putih, merica dan ohaiong. Lalu masak telur gausah pake minyak pake telfon aja. | Tambahkan bumbu halus dan tambahkan air jeruk nipis lalu tambahkan sayuran, shirataki, dan paprika. Kemudian tambahkan bumbu Soto Indomie secukupnya. Menyajikan.","307,0 kkal","15,3 g","34,29 g","12,68 g","10,7 g","6,7 g","759,0 mg","694,0 mg","23,0 mg","0,873 g",Mie Shirataki sarat dengan rasa dan topping.,PT25M,PT15M,1 porsi
Japchae Shirataki,https://www.fatsecret.co.id/resep/50187114-japchae-shirataki/Default.aspx,Japchae Shirataki,Sidebar - Makan Siang,"1 sedang paprika merah manis | 1 sejumput lada hitam | 1 sdt garam | 40 gram wortel | 1 mangkok, dicincang daun bawang (loncang) | 1 sdt gula pasir | 1 sdt bawang putih cincang | 1/2 sdm kecap manis | 200 g mie basah matang | 10 g saus tiram | 20 gram jamur kancing | 10 ml pengganti kecap asin | 5,50 ml minyak goreng","Rebua mie shirataki sampe matang. | Tumis jamur dan wortel hingga masak, tambahkan garam. | Masukan mie yang sudah matang, aduk hingga tercampur. | Masukan saus yang sudah dibuat. Masak hingga saus surut. | Setelah surut, tambahkan paprika dan daun bawang. Aduk hingga tercampur rata. | Mie siap di sajikan.","56,0 kkal","1,6 g","10,54 g","1,44 g","3,6 g","5,06 g","857,0 mg","199,0 mg","0,0 mg","0,533 g",Lezzetli şehriye yemeği.,PT10M,PT20M,4 porsi
Pizza Oatmeal Teflon,https://www.fatsecret.co.id/resep/50099578-pizza-oatmeal-teflon/Default.aspx,Pizza Oatmeal Teflon,Sidebar - Makanan Ringan,"25 gram keju mozzarella | 40 gram daging kornet | 1 sdt, tumbuk oregano | 100 g instant oatmeal | 2 sdm saus sambal | 1/4 sedang bawang bombay",Uleni oatmeal dengan sedikit air. | Letakkan ke teflon. | Beri saos lalu beri toping. | Tambahkan oregano dan parutan mozzarella. | Tunggu 30 menit dgn ditutup dan api kecil.,"162,0 kkal","7,12 g","21,38 g","5,7 g","2,4 g","2,84 g","334,0 mg","38,0 mg","13,0 mg","1,797 g",Makanan ringan atau pengganti pizza junkfood.,PT15M,PT30M,4 porsi
Oatmeal Goreng dan Omelet,https://www.fatsecret.co.id/resep/49774862-oatmeal-goreng-dan-omelet/Default.aspx,Oatmeal Goreng dan Omelet,Sidebar - Makan Siang,1/4 sdm minyak nabati | 1/4 mangkok kaldu jamur | 1 besar telur dadar | 2 sdm cabai merah atau rawit | 1/2 mentimun (dengan kulit) | 2 siung bawang putih | 1 sejumput garam laut | 2 kecil bawang merah | 2 sendok makan instant oatmeal | 1/2 sedang bawang bombay,"Sangrai oatmeal sampai kecoklatan. | Tumis bawang merah, beang putih, cabai, dan bawang bombay sampai layu dan harum. | Tuang oatmeal yg sudah di sangrai. | Tambah air sedikit saja. | Tambahkan garam+kaldu jamur secukupnya sambil diaduk. | Hidangkan dengan toping telur dan mentimun.","414,0 kkal","16,4 g","57,81 g","16,42 g","9,5 g","12,57 g","1061,0 mg","819,0 mg","217,0 mg","3,434 g",Oatmeal goreng berkalori rendah dengan telur dadar dan timun.,PT5M,PT5M,1 porsi
Cah Kangkung Ala,https://www.fatsecret.co.id/resep/49294239-cah-kangkung-ala/Default.aspx,Cah Kangkung Ala,Sidebar - Hidangan Utama,1 besar telur | 5 gram cabai merah atau rawit | 2 siung bawang putih | 2 kecil bawang merah | 1 sdm minyak goreng | 59 gram kangkung,"Panaskan minyak, masukkan bamer baput. | Tunggu hingga harum, masukkan kangkung dan cabe rawit. | Tambahkan sedikit air. | Tumis kangkung hingga masak dan tidak layu.","260,0 kkal","10,04 g","21,22 g","16,17 g","4,6 g","7,17 g","118,0 mg","683,0 mg","212,0 mg","5,787 g",Bayam dan telur dengan lada cayenne.,PT10M,PT5M,1 porsi
Tumis Shau,https://www.fatsecret.co.id/resep/48131862-tumis-shau/Default.aspx,Tumis Shau,Sidebar - Hidangan Utama,30 gram broccoli | 75 gram carrots | 1/2 tbsp sesame oil | 15 gram green snap beans | 1 sdm soy sauce (shoyu) | 1/2 sdm honey | 15 g saus tiram | 10 ml kecap pedas,Cuci dang potong semua sayuran. | Tumis bawang putih dengan minyak wijen. | Masukan semua sayuran dan bumbu lalu tambahkan air. | Siap disajikan.,"177,0 kkal","3,05 g","27,09 g","7,16 g","3,5 g","17,01 g","1602,0 mg","414,0 mg","0,0 mg","1,021 g",Tumis sayuran yang cepat dan lezat.,PT15M,PT5M,1 porsi
Rolade Sehat,https://www.fatsecret.co.id/resep/47664410-rolade-sehat/Default.aspx,Rolade Sehat,Sidebar - Hidangan Utama,100 gram dada ayam | 4 besar telur | 1 sdt minyak wijen | 200 gram wortel | 1/2 sdm minyak goreng | 130 gram tahu | 50 ml susu uht full cream | 40 g rolled oat | 15 ml kecap asin,"Campur semua bahan dengan chopper, kecuali 3 telur dan susu. Beri penyedap rasa, campur sampai rata. | Kocok 3 telur dengan susu, dadar di teflon anti lengket. | Lalu di bentuk seperti rolade dan kukus. Sudah siap disajikan.","24,0 kkal","1,84 g","1,37 g","1,21 g","0,2 g","0,32 g","42,0 mg","34,0 mg","23,0 mg","0,321 g","Rolade sehat no minyak, no tepung gluten .",PT30M,PT30M,40 porsi
